,코인 명,공시 명,날짜,마켓,전일 종가,최저가,최고가,BTC 상승률,상승률
0,THETA," 쎄타랩스, 분산형 비디오 및 데이터 전송을 지원하기 위한 초고 트랜잭션 처리량 소액 결제에 대한 두번째 미국특허취득",2021.03.16,KRW,8560.0,7440.0,8800.0,-5.98%,2.8%
1,PXL," 픽션 네트워크, 신임 대표이사 선출",2021.03.15,KRW,171.0,151.0,198.0,-2.87%,15.79%
2,RINGX," RINGX 재단, OK캐쉬백((주)위페이)과 ‘마이비(Mivy)’ 플랫폼 전환 협업 진행",2021.03.15,BTC,1.11e-06,1.04e-06,1.13e-06,-2.87%,1.8%
3,TON, 토카막 다오 베타 출시,2021.03.15,KRW,8395.0,7935.0,9145.0,-2.87%,8.93%
4,BFC, [기공개] Bifrost - BFC 소각 공시,2021.03.15,BTC,1.06e-06,1.03e-06,1.12e-06,-2.87%,5.66%
5,SOLVE, [기공개] APAC 시장 입지 강화를 위한 솔브케어 한국오피스 개소,2021.03.11,KRW,233.0,206.0,255.0,2.23%,9.44%
6,UPP," [기공개] 웁살라시큐리티, 코인데스크코리아와 ‘암호화폐 범죄 신고센터’ 서비스 런칭 계약 체결",2021.03.11,KRW,115.0,103.0,125.0,2.23%,8.7%
7,STPT," STP, 15억 원 상당 장내 매수 공시",2021.03.11,KRW,75.0,64.6,75.2,2.23%,0.27%
8,IOST," [기공개] 아이오에스티(IOST), 글로벌 NFT 콘텐츠 유통 플랫폼 ‘팔레트 컨소시엄' 합류",2021.03.11,KRW,53.5,51.0,56.0,2.23%,4.67%
9,FCT2," 피르마체인, 블루힐릭스 코리아와 파트너십 체결",2021.03.11,KRW,143.0,121.0,154.0,2.23%,7.69%
10,PICA," [일부 기공개] 피카프로젝트, 국내 최초 유명 아티스트 작품 NFT ERC-721 배포 및 판매 론칭",2021.03.10,BTC,1.02e-06,9.2e-07,1.05e-06,5.23%,2.94%
11,MBL," 무비블록, Origine Films와 협약 체결",2021.03.10,KRW,4.26,4.14,4.8,5.23%,12.68%
12,MARO, 2021년 상반기 로드맵 업데이트 및 자율주행데이터 사업 진출 공시,2021.03.10,KRW,72.4,72.1,89.4,5.23%,23.48%
13,ORBS," [기공개] 오브스(Orbs), 온체인데이터 커뮤니티 콘솔 출시",2021.03.10,KRW,39.5,39.4,46.8,5.23%,18.48%
14,PCI," 페이코인, SSG Money 전환 서비스 재개 안내",2021.03.09,KRW,1655.0,1575.0,1710.0,2.86%,3.32%
15,OBSR, 옵저버 토큰 (OBSR) 재락업 설정 공지,2021.03.09,KRW,8.95,8.5,9.23,2.86%,3.13%
16,ICX," 아이콘(ICON), 스테이블스왑 Defi 프로젝트 ‘Equality’ 출시 계획 발표",2021.03.09,KRW,2235.0,2045.0,2270.0,2.86%,1.57%
17,AHT, [기공개] 아하토큰 유통량 하향 조정 공지,2021.03.08,KRW,8.91,8.4,9.03,3.43%,1.35%
18,PXL," 픽션네트워크, 약 56 억 규모 ‘픽션 네트워크 NFT 그랜트’ 출범",2021.03.08,KRW,38.6,37.3,41.9,3.43%,8.55%
19,AERGO, AERGO 2021 로드맵 업데이트,2021.03.05,KRW,177.0,177.0,320.0,-2.6%,80.79%
20,HBAR, [일부 기공개] 헤데라 거버닝 카운슬 업데이트 - 새로운 멤버 합류,2021.03.04,KRW,143.0,139.0,149.0,3.45%,4.2%
21,ICX," [기공개] 아이콘(ICON) 재단, ICX 홀더 대상 Balanced 토큰 Airdrip(연속적 에어드롭) 진행",2021.03.04,KRW,1925.0,1900.0,2075.0,3.45%,7.79%
22,TON, TON 소각 공시,2021.03.04,KRW,6380.0,6230.0,6855.0,3.45%,7.45%
23,ENJ," ENJIN (엔진코인), NFT 지원 및 가스 비용 없는 (스케일링) 솔루션 공개",2021.03.04,KRW,911.0,892.0,2305.0,3.45%,153.02%
24,POWR, [기공개] 파워렛저가 인도 델리에서 최초의 P2P 에너지 거래를 선보이다,2021.03.03,KRW,272.0,255.0,278.0,-0.75%,2.21%
25,BFC, BiFi UI 및 이자율 알고리즘 개선,2021.03.03,BTC,9.6e-07,9.4e-07,1.37e-06,-0.75%,42.71%
26,META," 메타디움, 탈중앙화 거래소(DEX) 기반 비트코인(BTC)/이더리움(ETH) 결제 플랫폼 출시 계획 발표",2021.03.03,KRW,22.4,21.1,26.8,-0.75%,19.64%
27,DKA," 디카르고, 이지고와 '카카오페이 배송' 서비스 관련 물류 데이터 협업 게시",2021.03.03,KRW,59.4,54.8,62.4,-0.75%,5.05%
28,TSHP, 12Ships 재단은 TSHP 토큰의 바이백 및 소각을 완료했습니다,2021.03.03,KRW,10.4,9.61,10.4,-0.75%,0.0%
29,CRO," 크립토닷컴, 애스턴 마틴 포뮬러 원 팀과 파트너쉽 체결",2021.03.02,KRW,154.0,152.0,170.0,8.93%,10.39%
30,MOC," 모스랜드, 마케팅 활용 목적으로 모스코인 바이백 진행",2021.03.02,KRW,57.0,54.2,63.6,8.93%,11.58%
31,MVL," 캄보디아 정부, MVL에 투자 승인 발표",2021.02.18,KRW,3.91,3.87,4.68,4.97%,19.69%
32,BORA," BORA(보라) 운영사 ‘웨이투빗’, ‘카카오게임즈’ 계열사 편입 안내",2021.02.18,KRW,41.4,40.7,64.5,4.97%,55.8%
33,SSX," 썸씽(SSX), 장내 매수 진행 공시",2021.02.17,KRW,29.1,28.3,30.8,4.24%,5.84%
34,IOST, 아이오에스티(IOST) 홀더에게 도니 파이낸스팀의 돈(DON) 토큰 에어드랍 진행,2021.02.17,KRW,33.5,32.2,35.5,4.24%,5.97%
35,TON," 토카막 네트워크, 소바와 업무협력 파트너십 체결 공시",2021.02.17,KRW,3705.0,3555.0,3885.0,4.24%,4.86%
36,PXL," 픽션네트워크, NFT 플랫폼 프리뷰 공개",2021.02.17,KRW,19.4,19.4,24.7,4.24%,27.32%
37,PLA, 플레이댑 ‘크립토도저 for LINE Blockchain’ 17일일본 구글플레이스토어에 정식 출시,2021.02.17,KRW,178.0,171.0,189.0,4.24%,6.18%
38,TON," 토카막 네트워크, 톡큰 스테이킹 오퍼레이터 참여 공시",2021.02.17,KRW,3705.0,3555.0,3885.0,4.24%,4.86%
39,QTCON, 퀴즈톡 정보보호 관리체계(ISMS) 인증 획득,2021.02.17,KRW,20.0,19.7,22.9,4.24%,14.5%
40,PCI," 다날핀테크, 페이코인 앱에서 비트코인(BTC) 결제 지원",2021.02.17,KRW,194.0,188.0,204.0,4.24%,5.15%
41,NXPS, NPXS 액면병합에 대한 커뮤니티 투표 진행,2021.02.17,조회 불가,조회 불가,조회 불가,조회 불가,0.042412244,조회 불가
42,IGNIS," Jelurida, 업비트에 Ignis 셔플링 사용 계정 전체를 식별하는 솔루션 제공",2021.02.16,KRW,60.1,52.1,71.5,-0.33%,18.97%
43,ONIT, 온버프와 체인링크 파트너십 체결,2021.02.16,BTC,9.6e-07,8.3e-07,1.03e-06,-0.33%,7.29%
44,ITAM, 아이텀 NFT 중앙화 거래 플랫폼 NFT FARM 거버넌스 기능 추가,2021.02.15,BTC,3e-07,2.8e-07,3.1e-07,4.08%,3.33%
45,BFC, BiFi USDC 지원 및 추가 언어 지원,2021.02.15,BTC,9.5e-07,9.1e-07,1.17e-06,4.08%,23.16%
46,GOM2, 고머니2가 펫 쇼핑몰 아크멍에서 결제가 가능,2021.02.15,BTC,3.3e-07,3e-07,3.3e-07,4.08%,0.0%
47,ENJ," 마이크로소프트, 엔진: 세계 여성 과학자의 날을 기념하여 마인크래프트 호환 가능 NFT 출시",2021.02.11,KRW,440.0,419.0,479.0,-0.47%,8.86%
48,OGN, 오리진프로토콜 OUSD 수익률로 OGN바이백(Buyback) 프로그램 발표,2021.02.10,BTC,6.7e-06,6.04e-06,1.132e-05,-0.59%,68.96%
