,코인 명,공시 명,날짜,마켓,전일 종가,최저가,최고가,BTC 상승률,상승률,전일 종가1,최저가1,최고가1,전일 종가2,최저가2,최고가2,BTC 상승률1,BTC 상승률2,누적 거래량,누적 거래량1,누적 거래량2,누적 거래금,누적 거래금1,누적 거래금2
0,THETA," 쎄타랩스, 분산형 비디오 및 데이터 전송을 지원하기 위한 초고 트랜잭션 처리량 소액 결제에 대한 두번째 미국특허취득",2021.03.16,KRW,7810.0,7360.0,11800.0,2.38,51.09,8560.0,7440.0,8800.0,7890.0,7580.0,9135.0,-5.98,-2.87,12016487.80013821,3502947.8702207,4258024.57106014,107765352756.22136,28244783068.386795,35925277157.15208
1,PXL," 픽션 네트워크, 신임 대표이사 선출",2021.03.15,KRW,176.0,160.0,222.0,-5.98,26.14,171.0,151.0,198.0,129.0,129.0,249.0,-2.87,6.02,1499497993.8453534,979349539.3927568,4247528473.3694143,285558649091.19214,167711269324.27795,834150108660.6066
2,RINGX," RINGX 재단, OK캐쉬백((주)위페이)과 ‘마이비(Mivy)’ 플랫폼 전환 협업 진행",2021.03.15,BTC,1.08e-06,1.01e-06,5e-06,-5.98,362.96,1.11e-06,1.04e-06,1.13e-06,1.23e-06,1.09e-06,1.27e-06,-2.87,6.02,1022040297.5576173,19223795.004814,26186140.59941168,3155.81210714,20.82882277,31.23368697
3,TON, 토카막 다오 베타 출시,2021.03.15,KRW,8635.0,8440.0,11460.0,-5.98,32.72,8395.0,7935.0,9145.0,8145.0,7680.0,8995.0,-2.87,6.02,15344862.86983737,3307542.0075684,4559839.85341739,150401428060.13312,28680461088.383305,37909429983.03645
4,BFC, [기공개] Bifrost - BFC 소각 공시,2021.03.15,BTC,1.1e-06,1.09e-06,1.6e-06,-5.98,45.45,1.06e-06,1.03e-06,1.12e-06,1.11e-06,1.06e-06,1.15e-06,-2.87,6.02,74531376.28440757,8720518.91766326,7974489.86420303,96.53380817,9.35904555,8.73425793
5,SOLVE, [기공개] APAC 시장 입지 강화를 위한 솔브케어 한국오피스 개소,2021.03.11,KRW,241.0,225.0,284.0,2.89,17.84,233.0,206.0,255.0,208.0,200.0,235.0,2.23,5.23,170730804.475969,203798344.56275216,175978163.47831637,41329612971.24617,47793677330.23345,37106733023.08759
6,UPP," [기공개] 웁살라시큐리티, 코인데스크코리아와 ‘암호화폐 범죄 신고센터’ 서비스 런칭 계약 체결",2021.03.11,KRW,118.0,110.0,129.0,2.89,9.32,115.0,103.0,125.0,108.0,105.0,147.0,2.23,5.23,276680257.07134295,192951695.83533287,586374294.9480928,32946419829.509476,22023399522.497154,70225817298.28305
7,STPT," STP, 15억 원 상당 장내 매수 공시",2021.03.11,KRW,70.5,67.3,93.9,2.89,33.19,75.0,64.6,75.2,62.3,62.3,99.0,2.23,5.23,863936396.1492224,648856951.5684415,4597416408.496462,63872317367.10273,45416887466.97793,343510654576.4326
8,IOST," [기공개] 아이오에스티(IOST), 글로벌 NFT 콘텐츠 유통 플랫폼 ‘팔레트 컨소시엄' 합류",2021.03.11,KRW,52.1,50.9,68.5,2.89,31.48,53.5,51.0,56.0,51.0,50.3,53.7,2.23,5.23,1086117274.498973,520322476.95980525,251881535.84669778,59211337328.01352,27872144823.142624,13073702060.374283
9,FCT2," 피르마체인, 블루힐릭스 코리아와 파트너십 체결",2021.03.11,KRW,134.0,130.0,193.0,2.89,44.03,143.0,121.0,154.0,118.0,113.0,150.0,2.23,5.23,597923695.6583711,189088506.81173074,302633619.2316619,92718411388.82034,25712977894.8745,39962717957.32295
10,PICA," [일부 기공개] 피카프로젝트, 국내 최초 유명 아티스트 작품 NFT ERC-721 배포 및 판매 론칭",2021.03.10,BTC,9.8e-07,8.7e-07,1.19e-06,2.23,21.43,1.02e-06,9.2e-07,1.05e-06,1.07e-06,9.7e-07,1.11e-06,5.23,2.86,108760055.39253151,60204214.96414044,55468837.81159908,107.0589202,59.14370636,57.57294719
11,MBL," 무비블록, Origine Films와 협약 체결",2021.03.10,KRW,4.68,4.62,7.91,2.23,69.02,4.26,4.14,4.8,4.24,4.04,4.35,5.23,2.86,50120240966.14456,5853142455.539755,2148221725.1192594,302126804392.3578,26103056151.084736,8899754334.91299
12,MARO, 2021년 상반기 로드맵 업데이트 및 자율주행데이터 사업 진출 공시,2021.03.10,KRW,80.2,68.0,130.0,2.23,62.09,72.4,72.1,89.4,63.4,62.6,80.0,5.23,2.86,2436459734.515551,1052143145.9864116,990972156.8953044,256653944755.95346,85804003107.83577,70761863799.50836
13,ORBS," [기공개] 오브스(Orbs), 온체인데이터 커뮤니티 콘솔 출시",2021.03.10,KRW,45.7,40.0,68.3,2.23,49.45,39.5,39.4,46.8,39.4,37.4,39.6,5.23,2.86,1698270016.445846,621855079.7071137,129931059.14566453,95846475498.5084,26770512802.644657,4994665824.468107
14,PCI," 페이코인, SSG Money 전환 서비스 재개 안내",2021.03.09,KRW,1640.0,1600.0,1975.0,5.23,20.43,1655.0,1575.0,1710.0,1540.0,1525.0,1735.0,2.86,3.43,106339701.37191617,27192446.8997344,76562355.30635835,190963148609.45813,44190944072.25666,126110868905.80527
15,OBSR, 옵저버 토큰 (OBSR) 재락업 설정 공지,2021.03.09,KRW,9.13,8.89,13.0,5.23,42.39,8.95,8.5,9.23,9.02,8.61,9.23,2.86,3.43,4868038786.676246,1021478794.8391128,625697977.8010367,48447581701.383575,9070480583.674248,5555706559.174563
16,ICX," 아이콘(ICON), 스테이블스왑 Defi 프로젝트 ‘Equality’ 출시 계획 발표",2021.03.09,KRW,2165.0,2100.0,2810.0,5.23,29.79,2235.0,2045.0,2270.0,2125.0,2120.0,2250.0,2.86,3.43,43288108.45752882,25602909.8491919,9827446.99675718,101940555928.33543,54596213275.40472,21441703273.012
17,AHT, [기공개] 아하토큰 유통량 하향 조정 공지,2021.03.08,KRW,8.79,8.43,12.9,2.86,46.76,8.91,8.4,9.03,8.61,8.16,9.7,3.43,-0.76,6306965764.993364,1085900703.6589482,3419476290.501426,62935024551.77926,9493201308.405556,31169459221.797676
18,PXL," 픽션네트워크, 약 56 억 규모 ‘픽션 네트워크 NFT 그랜트’ 출범",2021.03.08,KRW,41.7,40.2,95.1,2.86,128.06,38.6,37.3,41.9,38.2,34.1,40.1,3.43,-0.76,7630086797.0282955,265253654.91789243,428335888.18554103,531586318725.1045,10477125994.204573,16359125643.06153
19,AERGO, AERGO 2021 로드맵 업데이트,2021.03.05,KRW,200.0,181.0,264.0,0.4,32.0,177.0,177.0,320.0,135.0,132.0,230.0,-2.6,3.45,323709967.45711106,1494079805.6579041,503615945.755659,66529379122.28521,369231219058.4759,86258230526.67047
20,HBAR, [일부 기공개] 헤데라 거버닝 카운슬 업데이트 - 새로운 멤버 합류,2021.03.04,KRW,148.0,146.0,260.0,-2.6,75.68,143.0,139.0,149.0,142.0,136.0,145.0,3.45,-0.75,1149406782.3353477,129543241.29415464,76984822.58301076,213352885023.26178,18640057259.004097,10867126411.642298
21,ICX," [기공개] 아이콘(ICON) 재단, ICX 홀더 대상 Balanced 토큰 Airdrip(연속적 에어드롭) 진행",2021.03.04,KRW,2055.0,1950.0,3020.0,-2.6,46.96,1925.0,1900.0,2075.0,1900.0,1825.0,2040.0,3.45,-0.75,84489265.88396424,11848344.57979379,12451218.0272697,200520577186.4489,23845100315.961426,24256353835.11137
22,TON, TON 소각 공시,2021.03.04,KRW,6830.0,6235.0,12000.0,-2.6,75.7,6380.0,6230.0,6855.0,6080.0,5815.0,6630.0,3.45,-0.75,24000821.61681712,3111088.5246157,4835291.60250029,199156613919.42767,20313745950.87119,30511631019.828594
23,ENJ," ENJIN (엔진코인), NFT 지원 및 가스 비용 없는 (스케일링) 솔루션 공개",2021.03.04,KRW,1350.0,1235.0,1770.0,-2.6,31.11,911.0,892.0,2305.0,793.0,739.0,1015.0,3.45,-0.75,261834206.64287487,335513946.4912438,274213555.45002687,401262856518.9288,430235118772.8922,252603119089.96155
24,POWR, [기공개] 파워렛저가 인도 델리에서 최초의 P2P 에너지 거래를 선보이다,2021.03.03,KRW,266.0,262.0,680.0,3.45,155.64,272.0,255.0,278.0,259.0,246.0,273.0,-0.75,8.93,897346155.158267,25594578.47242586,37939965.10231278,402575697815.27985,6741464646.673315,9842837320.813368
25,BFC, BiFi UI 및 이자율 알고리즘 개선,2021.03.03,BTC,1.28e-06,1.17e-06,1.6e-06,3.45,25.0,9.6e-07,9.4e-07,1.37e-06,9.6e-07,8.8e-07,1.06e-06,-0.75,8.93,69889913.7711878,35470583.4007065,5680204.58349768,98.06474201,42.24327013,5.46928687
